id,extraversion,agreeableness,conscientiousness,neuroticism,openness
2,21,34,26,26,47
3,24,41,35,23,43
4,27,34,24,28,33
6,30,41,38,18,36
7,27,33,33,16,42
10,18,36,35,28,45
12,30,38,36,27,33
14,21,40,39,21,34
15,32,42,35,22,42
17,23,45,26,31,36
19,21,30,27,12,44
20,29,36,29,31,30
21,28,40,24,22,47
22,27,33,24,19,35
23,22,40,29,21,38
25,35,37,32,20,43
26,28,34,29,19,45
27,19,42,27,14,39
30,18,25,31,27,35
31,28,34,23,23,40
33,28,32,34,19,36
34,13,34,38,31,39
35,34,37,27,28,40
36,16,27,24,32,29
37,24,37,30,21,36
38,27,34,31,24,32
39,16,36,32,30,30
40,21,28,21,16,25
41,27,33,29,16,35
42,23,22,23,31,34
43,29,38,40,16,37
44,28,36,32,23,30
45,29,39,27,33,42
46,20,30,37,13,35
47,23,35,21,30,33
48,24,34,29,27,34
49,19,26,30,27,36
50,26,34,26,17,33
51,28,35,32,19,36
52,19,37,23,25,33
58,23,27,30,25,39
60,20,32,34,22,35
62,21,27,29,21,34
63,34,19,33,13,45
64,26,33,25,22,32
65,23,33,30,25,49
66,23,33,27,21,27
67,25,39,26,18,37
68,25,35,32,24,36
69,19,33,30,24,32
70,25,42,32,22,43
71,19,30,28,26,29
72,13,34,25,25,33
73,30,35,25,28,34
74,31,13,26,21,43
75,28,27,32,26,35
76,25,36,27,23,40
77,25,29,28,26,34
79,19,28,24,29,25
80,34,42,38,14,40
81,23,33,29,20,32
82,25,33,23,26,36
