,Unnamed: 0,id,songnames,songartists,lyrics,scoringDone,anger,fear,joy,sadness,analytical,confident,tentative
0,0,2,Habit,Still Woozy,"I could let you have it
You could be my habit
You could be my woman, right
I don't want you having
Any time alone
You're living in a hole
Any time I know
I could let you have it
You could be my habit
You could be my woman, right
I don't want you having
Any time alone
Living in your head
There's a back door
My little one
She's so bad
Bad as the sun
Well she break me then I fall
I don't know the half of it anymore
Yeah well I could give a fuck about you
She can get whatever she needs
Every time that she looked at me
You know I felt weak to my knees
Wasn't trying to be fancy like you know
I could give a fuck about you
You know I'm going to be in my room
Even when you come, it goes
You always hit on the nose but
Never know how you could know but
Treat me like her
Treat me, treat me like a
I don't know the half
Why did you w-want her
Why
Treat me like the queen
Slap your knees
Like you been laughing in
I could let you have it
You could be my habit
You could be my woman, right
I don't want you having
Any time alone
You're living in a hole
Any time I know
I could let you have it
You could be my habit
You could be my woman, right
I don't want you having
Any time alone
Living in your head
There's a back door
I could be yours if you want it
I could be yours if you want it
Please, please tell me",1.0,0.4845,0.249156,0.013715,0.414249,0.0,0.0,0.972431
1,1,2,Someday,Flypsyde,"Come on
Shalalala, shalalala
Someday we gonna rise up on that wind you know
Someday we gonna dance with those lions
Someday we gonna break free from these chains and keep on flyin'
They tellin' me it's all good just wait
You know you're gonna be there someday
Sippin' on Jim Beam ok
Gotta get these things one day
Till then do another line you know
Searching for that other high
Stop or I gotta steal then steal
Kill or I'm gonna be killed
I got a sack in my pocket
Conscious yellin' drop it
You know we're gonna lose it someday
And we tryin' to hold it all together
But the devil is too clever so
I'm gonna die you gonna die we gonna die
Someday one day I said
Someday we gonna rise up on the wind you know
Someday we gonna dance with those lions
Someday we gonna break free from these chains and keep on flyin'
Try to lie but it ain't me
Ain't me try to look but I can't see
Can't stop right now cause I'm too far
And I can't keep goin' cause it's too hard
In the day in the night it's the same thing
On the field on the block it's the same game
On the real if you stop then it's no pain
But if you can't feel pain then it's no gain
Rearrange and you change and it's all bad
And you try to maintain but you fall back
And you crawl and you slip and you slide down
Wanna make it to the top better start now
So I hold my soul and I die hard
All alone in the night in the graveyard
Someday one day I'm gonna be free
And they won't try to kill me for being me
Hey someday
Someday we gonna rise up on that wind you know
Someday we gonna dance with those liars
Someday we gonna break free from these chains and keep on flyin'
If you know how this is
Gonna see it's not that easy
Don't stop get it till it's done
From where you are or have begun
I said keep on try a little harder
To see everything you need to be
Believe in your dreams
That you see when you're asleep
Someday we gonna rise up on that wind you know
Someday we gonna dance with those liars
Someday we gonna break free from these chains
And keep on, keep on, keep on, keep on flyin'",1.0,0.633487,0.190181,0.032559,0.368816,0.0,0.0,0.168827
2,2,2,Venus,Sleeping at Last,"The night sky once ruled my imagination.
Now I turn the dials with careful calculation.
After a while, I thought I'd never find you.
I convinced myself that I would never find you,
When suddenly I saw you.
At first I thought you were a constellation.
I made a map of your stars, then I had a revelation:
You're as beautiful as endless,
You're the universe I'm helpless in.
An astronomer at my best
When I throw away the measurements.
Like a telescope,
I will pull you so close
'Til no space lies in between.
And suddenly I see you.
Suddenly I see you.
I was a billion little pieces
'Til you pulled me into focus.
Astronomy in reverse,
It was me who was discovered.
(I thought I'd never find you,
When suddenly I saw you.)
Like a telescope,
I will pull you so close,
'Til no space lies in between.
Then suddenly I see you.",1.0,0.109705,0.647529,0.5068819999999999,0.228974,0.555642,0.0,0.196453
3,3,2,Will Do,TV on the Radio,"It might be impractical to seek out a new romance
We won't know the actual if we never take the chance
I'd like to collapse with you and ease you against this song
I think we're compatible, I see that you think I'm wrong, but
Anytime will do, my love
Anytime will do, no choice of words will break me from this rule
Anytime will do, my love
Anytime will do, what choice of words will take me back to you?
Your love makes a fool of you, you can't seem to understand
A heart doesn't play by rules and love has it's own demands
But I'll be there to take care of you if ever you should decide
But you don't want to waste your life in the middle of a lovesick lullaby, but
Anytime will do, my love
Anytime will do, no choice of words will break me from this rule
Anytime will do, my love
Anytime will do, the choicest words will take me back to you
Oh my reddest rose, caldera, set it off
How your fire grows hermosa caldera
Glistening through your fussed blows careen your caldera
Set it off, as your body flows the second hand flashes
Passes over your skin like time
Anytime will do, my love
Anytime will do, my love
Anytime will do, my love
Anytime will do, my love
Any time will do, no choice of words will break me from this rule
Any time will do, no choice of words will break me from this rule
Any time will do, no choice of words will break me from this rule
Anytime will do, what choice of words will take me back to you?",1.0,0.226913,0.04525,0.516772,0.21769,0.569231,0.0,0.927953
4,4,2,Every other Freckle,Alt-J,"Aah
I want to share your mouthful
I want to do all the things your lungs do so well
I'm gonna bed into you like a cat prance into a beanbag
Turn you inside out and lick you like a crisp packet
You're the first and last of your kind
Hold me like an animal utaffable
I wanna be every lever you've pulled
And all showers that shower you
Not a pop or a tune
Like a cat falls and I wanna dump her
Me, I'm in the bin
Ignore her worth, and some trivia
Hey
Ooh, devour me
Ooh, Lou Lou, let the cover girls sing
Hey (doo doo doo doo doo doo)
All hand claps
Human claps
(Let me be the wallpaper that papers up your room)
I want to be every button you press
And all mouths that surround you
Yes, I'm gonna roll around you
Like a cat rolls around the chrysanthemums
I'm gonna kiss you like the sun grounds you
Hey
Oh oh oh oh oh devour me (hey)
Oh oh oh oh oh oh devour me (hey)
Oh oh oh oh oh (oh oh oh oh oh)
Oh oh oh oh oh
Oh oh oh oh oh (oh oh oh oh oh)
If you really think that you can stomach me (hey, hey)
Hey
Hey
I want every other freckle
I want every other freckle
I want every other freckle
I want every other freckle
I want every other freckle
I want every other freckle
I want every other freckle
I want every other freckle, freckle",1.0,0.128174,0.268708,0.409157,0.121439,0.0,0.812988,0.0
5,5,2,Face,Brockhampton,"Tell me what you're waiting for
I just wanna love ya
Tell me what you're waiting for
I just wanna hold ya
Tell me what you're waiting for
I just wanna love ya
Just wanna hold ya
Never would lie to you
Tell me what you're waiting for
What you waiting for?
It feels like I can see the past in your eyes
I know the future has been passing you by
These other niggas, they just passing your time
They don't know how to ride the tidal waves that crash in your thighs
But I got the dream, and if you believe, then I can take you somewhere that is pristine
I'm keeping it clean, my title is mean, they boxed in a Simba, we broke out the seams
Don't make me a fiend, I know what I want, I'm working to get everything that I need
But I got a plan for ya, I'm taking a stand for ya, I care for ya
What's your motive with me baby
'Cause I don't trust nobody lately
I twist and turn, moving just like a serpent
New times are coming just like a virgin
Get you all outta my head
Cause lately I'm better off dead
I say this all out of respect
Sometimes I want nothing with you
Wearing your love like medallions
Cause I know thousand men want ya
Wants the menages
Fucking riding shotgun, slap your buns
Melting, fading, under stars and the sun
85, 90, gon' bust out the gun
Know they sent me from the neck of the woods
Change my name, state so they never could
Tell me what you're waiting for
I just wanna love ya
Tell me what you're waiting for
I just wanna hold ya
Tell me what you're waiting for
I just wanna love ya
Just wanna hold ya
Never would lie to you
Tell me what you're waiting for
What you waiting for?
I need a friend (I need a friend)
And you need a home (you need a home)
I love when you come (I love when you come)
I still feel alone
You make it warm in my bed
Butterflies in my head
Sun rise and it set
But you don't love me like you say you do
White lies hold the hidden truth
You keep leaving when I need you most
It's true what they say about love had and love lost
Here you are and now you're gone
I'm left alone in the same bed
I wake up in a cold sweat
Please don't make me wait long
I just wanna be your main boy, your main, your main one
See, I don't want nobody but you
See, I don't want nobody but you
I spent the day by my lonesome
Who do you call when there's no one?
No one ever did what you did for me and to me
My bed is cold and indented where you used to sleep
Tell me what you're waiting for, shit
Tell me what I'm here for
Tell me what you're waiting for
I just wanna love ya
Tell me what you're waiting for
I just wanna hold ya
Tell me what you're waiting for
I just wanna love ya
Just wanna hold ya
Never would lie to you
Tell me what you're waiting for
What you waiting for?",1.0,0.40347,0.357183,0.007308,0.542877,0.0,0.0,0.817596
6,6,2,Border line,Tame Impala,"Ah
Gone a little far
Gone a little far this time for somethin'
How was I to know?
How was I to know this high came rushing?
We're on the borderline
Caught between the tides of pain and rapture
Possibly a sign
I'm gonna have the strangest night on Sunday
There I go
Quite a show for a loner in L.A.
Askin' how I managed to end up in this place
And I couldn't get away
We're on the borderline
Dangerously far and all forgiven
There's gonna be a fight
Gonna be a price to pay on Monday
(If you and I get comfortable)
We're on the borderline (on the borderline)
Caught between the tides of pain and rapture
Then I saw the time (saw the time)
Watched it speedin' by like a train
Like a train
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Set it free, must be tough
Will I be known and loved?
Is there one that I trust?
If there's room, room for doubt
As within, as without ya
Will I be so in love?
Gettin' closer, close enough
Shout out to what is done
R.I.P. here comes the sun
Here comes the sun
Gone a little far
Gone a little far this time with something
How could I have known?
How was I to know this life get no shame
I said, ""Come with me outside""
I need to clear my mind
This weight is crushing
Do you see the light, oh
Coming from their eyes, oh no
And I couldn't get away
We're on the borderline
Gets me every time
These close encounters
Just to know I can (just to know I can)
Once again, I am alone
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?
Will I be known and loved?
Little closer, close enough
I'm a loser, loosen up
Set it free, must be tough (I was fine without ya)
Will I be known and loved?
L.A. really messed me up
And it isn't cut and dry
Conversation, well I tried (I was fine without ya)
Will I be? Stay right here
Any closer, bad idea
Shout out to what is done
R.I.P. here comes the sun (I was fine without ya)
Will I be known and loved?
Is there one that I trust?
Starting to sober up
Has it been long enough?",1.0,0.17142000000000002,0.147296,0.668067,0.5855020000000001,0.0,0.0,0.6505770000000001
7,7,2,Do I Wanna Know,Arctic Monkeys,"Have you got color in your cheeks?
Do you ever get that fear that you can't shift the type
That sticks around like summat in your teeth?
Are there some aces up your sleeve?
Have you no idea that you're in deep?
I've dreamt about you nearly every night this week
How many secrets can you keep?
'Cause there's this tune I found
That makes me think of you somehow and I play it on repeat
Until I fall asleep, spillin' drinks on my settee
If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day
Crawlin' back to you
Ever thought of callin' when
You've had a few?
'Cause I always do
Maybe I'm too
Busy bein' yours
To fall for somebody new
Now, I've thought it through
Crawlin' back to you
So have you got the guts?
Been wonderin' if your heart's still open
And if so, I wanna know what time it shuts
Simmer down an' pucker up, I'm sorry to interrupt
It's just I'm constantly on the cusp of tryin' to kiss you
I don't know if you feel the same as I do
But we could be together if you wanted to
If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day
Crawlin' back to you (crawlin' back to you)
Ever thought of callin' when
You've had a few? (had a few)
'Cause I always do ('cause I always do)
Maybe I'm too (maybe I'm too busy)
Busy bein' yours (bein' yours)
To fall for somebody new
Now, I've thought it through
Crawlin' back to you
If this feelin' flows both ways?
(Sad to see you go) Was sorta hopin' that you'd stay
(Baby, we both know) That the nights were mainly made
For sayin' things that you can't say tomorrow day
(Do I wanna know?) Too busy bein' yours to fall
(Sad to see you go) Ever thought of callin', darlin'?
(Do I wanna know?) Do you want me crawlin' back to you?",1.0,0.117437,0.56999,0.461428,0.643083,0.609233,0.0,0.8051560000000001
8,8,3,Deathbed,Powfu,"[Intro: beabadoobee]
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed

[Verse 1: Powfu]
Yeah, I don't wanna fall asleep, I don't wanna pass away
I been thinking of our future 'cause I'll never see those days
I don't know why this has happened, but I probably deserve it
I tried to do my best, but you know that I'm not perfect
I been praying for forgiveness, you've been praying for my health
When I leave this earth, hopin' you'll find someone else
'Cause yeah, we still young, there's so much we haven't done
Getting married, start a family, watch your husband with his son
I wish it could be me, but I won't make it out this bed
I hope I go to heaven so I see you once again
My life was kinda short, but I got so many blessings
Happy you were mine, it sucks that it's all ending

[Chorus: beabadoobee, Powfu, beabadoobee & Powfu]
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed (Yeah, ayy)
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed (Ayy, yeah)

[Verse 2: Powfu]
I'm happy that you here with me, I'm sorry if I tear up
When me and you were younger, you would always make me cheer up
Taking goofy videos and walking through the park
You would jump into my arms every time you heard a bark
Cuddle in your sheets, sing me sound asleep
And sneak out through your kitchen at exactly 1:03
Sundays, went to church, on Mondays, watched a movie
Soon you'll be alone, sorry that you have to lose me

[Chorus: beabadoobee, Powfu, beabadoobee & Powfu]
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed

[Outro: beabadoobee]
Don't stay awake for too long, don't go to bed
I'll make a cup of coffee for your head
It'll get you up and going out of bed",1.0,0.015288,0.171182,0.306993,0.517219,0.0,0.0,0.01814
9,9,3,Gloria,Henery Jamison," 
Me and my cousin were walking one day
By the Dairy Queen drive-thru down by the highway
And he found some f‌lowers, a busted bouquet
And he put a hydrangea in his hair
Some kids at the Dairy Queen were calling him gay
And then to my surprise I knew just what to say
I said, ""Boys, if you're looking for your worthiness
Well it's already there""

 
Gloria
No more nightmares of a lack of love
No need to win the race to face your father

 
Me and my cousin were at the arcade
In a fathom of blood, we were constantly slain
And we watched the progress of our three-letter names
'Til we stumbled outside to the night air
And there was a man, with a coat and a cane
He was mumbling things about the world gone insane
He said, ""Boys, if you're looking for your innocence
Well it's already there""

 
Gloria
No more nightmares of a lack of love
No need to win the race to face your father
Gloria
No more nightmares of a lack of love
No need to win the race to face your father
Gloria
No more nightmares of a lack of love
No need to win the race to face your father
Gloria
No more nightmares of a lack of love
No need to win the race to face your father",1.0,0.129403,0.027921,0.553502,0.09115,0.366399,0.0,0.457698
